Corinthians,GolCorinthians ,vs,GolAdv,ADV,Corinthians_Vitoria
CORINTHIANS,2,versus,1,NOVORIZONTINO,1
CORINTHIANS,3,versus,0,SPORT HUANCAYO,1
CORINTHIANS,2,versus,2,SÃO PAULO,0
CORINTHIANS,0,versus,2,PEÑAROL,0
CORINTHIANS,2,versus,0,SANTOS,1
CORINTHIANS,0,versus,0,RIVER PLATE-PAR,0
CORINTHIANS,2,versus,0,ITUANO,1
CORINTHIANS,1,versus,1,SÃO BENTO,0
CORINTHIANS,1,versus,2,FERROVIÁRIA,0
CORINTHIANS,1,versus,0,GUARANI,1
CORINTHIANS,1,versus,1,RETRÔ FC,0
CORINTHIANS,1,versus,0,MIRASSOL,1
CORINTHIANS,3,versus,0,SALGUEIRO,1
CORINTHIANS,1,versus,0,SÃO CAETANO,1
CORINTHIANS,2,versus,1,PONTE PRETA,1
CORINTHIANS,2,versus,2,PALMEIRAS,0
CORINTHIANS,0,versus,0,RED BULL BRAGANTINO,0
CORINTHIANS,0,versus,0,INTERNACIONAL,0
CORINTHIANS,0,versus,0,VASCO DA GAMA,0
CORINTHIANS,0,versus,1,SANTOS,0
CORINTHIANS,1,versus,2,FLAMENGO,0
CORINTHIANS,3,versus,3,ATHLETICO-PR,0
CORINTHIANS,2,versus,1,CEARÁ,1
CORINTHIANS,1,versus,2,BAHIA,0
CORINTHIANS,0,versus,2,RED BULL BRAGANTINO,0
CORINTHIANS,3,versus,0,SPORT,1
CORINTHIANS,0,versus,4,PALMEIRAS,0
CORINTHIANS,5,versus,0,FLUMINENSE,1
CORINTHIANS,2,versus,0,BOTAFOGO,1
CORINTHIANS,2,versus,1,GOIÁS,1
CORINTHIANS,1,versus,0,SÃO PAULO,1
CORINTHIANS,0,versus,0,FORTALEZA,0
CORINTHIANS,1,versus,0,CORITIBA,1
CORINTHIANS,0,versus,0,GRÊMIO,0
CORINTHIANS,1,versus,2,ATLÉTICO-MG,0
CORINTHIANS,1,versus,1,ATLÉTICO-GO,0
CORINTHIANS,1,versus,1,AMÉRICA-MG,0
CORINTHIANS,1,versus,0,INTERNACIONAL,1
CORINTHIANS,0,versus,1,AMÉRICA-MG,0
CORINTHIANS,2,versus,1,VASCO DA GAMA,1
CORINTHIANS,1,versus,5,FLAMENGO,0
CORINTHIANS,1,versus,0,ATHLETICO-PR,1
CORINTHIANS,1,versus,2,CEARÁ,0
CORINTHIANS,1,versus,1,SANTOS,0
CORINTHIANS,0,versus,0,RED BULL BRAGANTINO,0
CORINTHIANS,0,versus,0,ATLÉTICO-GO,0
CORINTHIANS,0,versus,1,SPORT,0
CORINTHIANS,3,versus,2,BAHIA,1
CORINTHIANS,1,versus,2,FLUMINENSE,0
CORINTHIANS,0,versus,2,PALMEIRAS,0
CORINTHIANS,2,versus,2,BOTAFOGO,0
CORINTHIANS,2,versus,1,GOIÁS,1
CORINTHIANS,1,versus,2,SÃO PAULO,0
CORINTHIANS,1,versus,1,FORTALEZA,0
CORINTHIANS,3,versus,1,CORITIBA,1
CORINTHIANS,0,versus,0,GRÊMIO,0
CORINTHIANS,2,versus,3,ATLÉTICO-MG,0
CORINTHIANS,1,versus,1,PALMEIRAS,0
CORINTHIANS,0,versus,0,PALMEIRAS,0
CORINTHIANS,1,versus,0,MIRASSOL,1
CORINTHIANS,2,versus,0,RED BULL BRAGANTINO,1
CORINTHIANS,2,versus,0,OESTE,1
CORINTHIANS,1,versus,0,PALMEIRAS,1
CORINTHIANS,1,versus,1,ITUANO,0
CORINTHIANS,1,versus,1,NOVORIZONTINO,0
CORINTHIANS,1,versus,1,SANTO ANDRÉ,0
CORINTHIANS,1,versus,2,ÁGUA SANTA,0
CORINTHIANS,0,versus,0,SÃO PAULO,0
CORINTHIANS,2,versus,1,GUARANÍ-PY,1
CORINTHIANS,0,versus,1,INTER DE LIMEIRA,0
CORINTHIANS,0,versus,1,GUARANÍ-PY,0
CORINTHIANS,2,versus,0,SANTOS,1
CORINTHIANS,1,versus,2,PONTE PRETA,0
CORINTHIANS,1,versus,1,MIRASSOL,0
CORINTHIANS,4,versus,1,BOTAFOGO-SP,1
CORINTHIANS,1,versus,2,ATLÉTICO NACIONAL,0
CORINTHIANS,2,versus,1,NEW YORK CITY FC,1
CORINTHIANS,1,versus,2,FLUMINENSE,0
CORINTHIANS,1,versus,0,CEARÁ,1
CORINTHIANS,1,versus,2,ATLÉTICO-MG,0
CORINTHIANS,3,versus,0,AVAÍ,1
CORINTHIANS,0,versus,1,BOTAFOGO,0
CORINTHIANS,0,versus,0,INTERNACIONAL,0
CORINTHIANS,1,versus,1,PALMEIRAS,0
CORINTHIANS,3,versus,2,FORTALEZA,1
CORINTHIANS,1,versus,4,FLAMENGO,0
CORINTHIANS,1,versus,2,CSA,0
CORINTHIANS,0,versus,0,SANTOS,0
CORINTHIANS,1,versus,2,CRUZEIRO,0
CORINTHIANS,2,versus,2,GOIÁS,0
CORINTHIANS,0,versus,1,SÃO PAULO,0
CORINTHIANS,2,versus,2,ATHLETICO-PR,0
CORINTHIANS,0,versus,0,GRÊMIO,0
CORINTHIANS,1,versus,0,CHAPECOENSE,1
CORINTHIANS,1,versus,0,VASCO DA GAMA,1
CORINTHIANS,2,versus,2,INDEPENDIENTE DEL VALLE,0
CORINTHIANS,2,versus,1,BAHIA,1
CORINTHIANS,0,versus,2,INDEPENDIENTE DEL VALLE,0
CORINTHIANS,0,versus,1,FLUMINENSE,0
CORINTHIANS,2,versus,2,CEARÁ,0
CORINTHIANS,1,versus,0,ATLÉTICO-MG,1
CORINTHIANS,1,versus,1,FLUMINENSE,0
CORINTHIANS,1,versus,1,AVAÍ,0
CORINTHIANS,0,versus,0,FLUMINENSE,0
CORINTHIANS,2,versus,0,BOTAFOGO,1
CORINTHIANS,0,versus,0,INTERNACIONAL,0
CORINTHIANS,2,versus,0,GOIÁS,1
CORINTHIANS,1,versus,1,PALMEIRAS,0
CORINTHIANS,2,versus,1,MONTEVIDEO WANDERERS,1
CORINTHIANS,3,versus,1,FORTALEZA,1
CORINTHIANS,2,versus,0,MONTEVIDEO WANDERERS,1
CORINTHIANS,1,versus,1,FLAMENGO,0
CORINTHIANS,1,versus,0,CSA,1
CORINTHIANS,1,versus,2,LONDRINA,0
CORINTHIANS,2,versus,1,VILA NOVA,1
CORINTHIANS,1,versus,2,BOTAFOGO-SP,0
CORINTHIANS,0,versus,1,SANTOS,0
CORINTHIANS,0,versus,0,CRUZEIRO,0
CORINTHIANS,0,versus,1,FLAMENGO,0
CORINTHIANS,2,versus,0,DEPORTIVO LARA,1
CORINTHIANS,1,versus,0,SÃO PAULO,1
CORINTHIANS,2,versus,0,DEPORTIVO LARA,1
CORINTHIANS,2,versus,0,ATHLETICO-PR,1
CORINTHIANS,0,versus,1,FLAMENGO,0
